trade_date,symbol,predicted_tier,trigger_tier,trigger_minute,fill_minute,trigger_ts,fill_ts,entry_price,fill_price,sell_quantity,sell_notional,commission,stamp_tax,slippage,total_cost,pnl_after_cost
20251118,688523,mild_override_watch,reversal_watch,43,44,2025/11/18 10:12,2025/11/18 10:13,27.8,26.4,1700,44880.0,13.464,44.88,22.44,80.784,-2460.784
20251126,300045,mild_override_watch,reversal_watch,62,63,2025/11/26 10:31,2025/11/26 10:32,23.4,22.22,2100,46662.0,13.9986,46.662,23.331,83.9916,-2561.9916
20251216,688523,reversal_watch,reversal_watch,3,4,2025/12/16 09:32,2025/12/16 09:33,42.78,40.0,1100,44000.0,13.2,44.0,22.0,79.2,-3137.2
20251216,688523,reversal_watch,severe_override_positive,4,5,2025/12/16 09:33,2025/12/16 09:34,42.78,39.14,1200,46968.0,14.0904,46.968,23.484,84.5424,-4452.5424
20251217,688066,mild_override_watch,reversal_watch,36,37,2025/12/17 10:05,2025/12/17 10:06,27.72,26.31,1800,47358.0,14.2074,47.358,23.679,85.2444,-2623.2444
20251219,688523,reversal_watch,reversal_watch,43,44,2025/12/19 10:12,2025/12/19 10:13,45.0,42.68,1100,46948.0,14.0844,46.948,23.474,84.5064,-2636.5064
20260113,000738,reversal_watch,reversal_watch,4,5,2026/01/13 09:33,2026/01/13 09:34,24.65,23.27,2000,46540.0,13.962,46.54,23.27,83.772,-2843.772
20260113,000738,reversal_watch,severe_override_positive,25,26,2026/01/13 09:54,2026/01/13 09:55,24.65,22.64,2000,45280.0,13.584,45.28,22.64,81.504,-4101.504
20260113,601698,severe_override_positive,severe_override_positive,3,4,2026/01/13 09:32,2026/01/13 09:33,53.87,48.77,1800,87786.0,26.3358,87.786,43.893,158.0148,-9338.0148
20260115,300045,reversal_watch,reversal_watch,32,33,2026/01/15 10:01,2026/01/15 10:02,32.5,30.85,1500,46275.0,13.8825,46.275,23.1375,83.295,-2558.295
20260115,300045,reversal_watch,severe_override_positive,185,186,2026/01/15 14:04,2026/01/15 14:05,32.5,29.87,1500,44805.0,13.4415,44.805,22.4025,80.649,-4025.649
20260115,601698,reversal_watch,reversal_watch,23,24,2026/01/15 09:52,2026/01/15 09:53,42.22,40.01,1100,44011.0,13.2033,44.011,22.0055,79.2198,-2510.2198
20260115,688066,reversal_watch,reversal_watch,9,10,2026/01/15 09:38,2026/01/15 09:39,42.5,39.77,1100,43747.0,13.1241,43.747,21.8735,78.7446,-3081.7446
20260115,688066,reversal_watch,severe_override_positive,74,75,2026/01/15 10:43,2026/01/15 10:44,42.5,39.06,1200,46872.0,14.0616,46.872,23.436,84.3696,-4212.3696
20260120,300342,reversal_watch,reversal_watch,41,42,2026/01/20 10:10,2026/01/20 10:11,57.61,54.6,800,43680.0,13.104,43.68,21.84,78.624,-2486.624
20260120,300342,reversal_watch,severe_override_positive,124,125,2026/01/20 13:03,2026/01/20 13:04,57.61,52.86,900,47574.0,14.2722,47.574,23.787,85.6332,-4360.6332
20260120,688066,severe_override_positive,reversal_watch,12,13,2026/01/20 09:41,2026/01/20 09:42,42.37,39.86,1100,43846.0,13.1538,43.846,21.923,78.9228,-2839.9228
20260120,688066,severe_override_positive,severe_override_positive,30,31,2026/01/20 09:59,2026/01/20 10:00,42.37,38.71,1200,46452.0,13.9356,46.452,23.226,83.6136,-4475.6136
20260120,688523,reversal_watch,reversal_watch,12,13,2026/01/20 09:41,2026/01/20 09:42,66.17,62.6,700,43820.0,13.146,43.82,21.91,78.876,-2577.876
20260120,688523,reversal_watch,severe_override_positive,46,47,2026/01/20 10:15,2026/01/20 10:16,66.17,60.51,800,48408.0,14.5224,48.408,24.204,87.1344,-4615.1344
20260126,300045,reversal_watch,reversal_watch,60,61,2026/01/26 10:29,2026/01/26 10:30,31.01,29.46,1600,47136.0,14.1408,47.136,23.568,84.8448,-2564.8448
20260126,300342,severe_override_positive,reversal_watch,83,84,2026/01/26 10:52,2026/01/26 10:53,60.0,56.86,800,45488.0,13.6464,45.488,22.744,81.8784,-2593.8784
20260126,300342,severe_override_positive,severe_override_positive,152,153,2026/01/26 13:31,2026/01/26 13:32,60.0,55.16,800,44128.0,13.2384,44.128,22.064,79.4304,-3951.4304
20260126,688066,reversal_watch,reversal_watch,21,22,2026/01/26 09:50,2026/01/26 09:51,41.99,39.53,1100,43483.0,13.0449,43.483,21.7415,78.2694,-2784.2694
