signal_trade_date,execution_trade_date,symbol,action,reason,signal_label_pg,phase_window_semantic,regime_proxy_semantic,event_state,pre_open_event_status,overnight_adverse_event_count,overnight_supportive_event_count,order_notional,weight_vs_initial_capital,open_to_close_return,close_location,intraday_range_return,close_from_high,gap_from_signal_close_to_open,forward_return_10,max_favorable_return_10,max_adverse_return_10,failure_type,supervision_label
20251114,20251117,003009,open,phase_geometry_preheat_probe,probe_eligibility_target,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,36421.0,0.036421,-0.02594657,0.05641026,0.03856041,-0.03503427,0.0,0.21576846,0.21576846,-0.0243513,,ambiguous_non_override
20251114,20251117,688523,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,38808.0,0.038808,0.01082251,0.68333333,0.04411765,-0.01338028,0.0,0.37427746,0.37427746,-0.10368497,,clean_control
20251114,20251117,688568,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,36855.0,0.036855,-0.001221,0.19230769,0.02555283,-0.02012458,0.0,0.05571776,0.05571776,-0.03090024,,ambiguous_non_override
20251114,20251117,688066,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,39392.0,0.039392,-0.01177904,0.52380952,0.02625,-0.01218027,0.0,0.12674897,0.12674897,-0.05802469,,clean_control
20251114,20251117,300045,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,38080.0,0.03808,0.03660714,0.78095238,0.046875,-0.0098081,0.0,-0.00089087,0.03429844,-0.04587973,,clean_control
20251117,20251118,003009,add,phase_geometry_preheat_probe,probe_eligibility_target,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,19928.0,0.019928,-0.01886792,0.0310559,0.03297153,-0.03092784,0.0,0.1781768,0.20185478,-0.03551697,,ambiguous_non_override
20251117,20251118,688523,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,19460.0,0.01946,-0.02517986,0.50657895,0.05772883,-0.02692998,0.0,0.49464668,0.49464668,-0.11456103,,ambiguous_non_override
20251117,20251118,688066,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,19520.0,0.01952,-0.00737705,0.4,0.02291667,-0.01344196,0.0,0.19030004,0.19030004,-0.05918619,,clean_control
20251117,20251118,688568,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,16288.0,0.016288,-0.01129666,0.35555556,0.0225338,-0.01420176,0.0,0.08288509,0.08288509,-0.02616137,,clean_control
20251117,20251118,000738,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,weak_drift_chop_proxy,event_neutral,no_decisive_event,0,0,38200.0,0.0382,-0.0078534,0.32258065,0.01644562,-0.01096033,0.0,-0.00939457,0.0151357,-0.02609603,,ambiguous_non_override
20251118,20251119,300342,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,39795.0,0.039795,-0.02058047,0.19444444,0.03908795,-0.03030303,0.0,0.04949974,0.05160611,-0.07266983,,ambiguous_non_override
20251118,20251119,000738,add,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,20834.0,0.020834,0.01108765,0.82142857,0.01479915,-0.00260417,0.0,-0.00949868,0.02638522,-0.01530343,,clean_control
20251118,20251119,600879,open,phase_geometry_preheat_probe,neutral_hold,preheat_window,risk_off_deterioration_proxy,event_neutral,no_decisive_event,0,0,39886.0,0.039886,-0.00371058,0.625,0.01503759,-0.00555556,0.0,0.08379888,0.08379888,-0.03072626,,clean_control
