trade_date,month_bucket,symbol,predicted_tier,entry_price,reference_quantity,reference_notional,first_reversal_minute,first_severe_minute,filled_step_count,remaining_quantity_after_sim,close_price,baseline_hold_pnl,simulated_pnl,same_day_loss_avoided,simulated_close_value
20251118,2025-11,688523,mild_override_watch,27.8,3500,97300.0,43,,0,3500,27.1,-2450.0,-2450.0,0.0,94850.0
20251126,2025-11,300045,mild_override_watch,23.4,4200,98280.0,62,,0,4200,21.91,-6258.0,-6258.0,0.0,92022.0
20251216,2025-12,688523,reversal_watch,42.78,2300,98394.0,3,4,2,0,39.21,-8211.0,-7589.7424,621.2576,0.0
20251217,2025-12,688066,mild_override_watch,27.72,3600,99792.0,36,,0,3600,26.52,-4320.0,-4320.0,0.0,95472.0
20251219,2025-12,688523,reversal_watch,45.0,2200,99000.0,43,,1,1100,42.06,-6468.0,-5870.5064,597.4936,46266.0
20260113,2026-01,000738,reversal_watch,24.65,4000,98600.0,4,25,2,0,22.72,-7720.0,-6945.276,774.724,0.0
20260113,2026-01,601698,severe_override_positive,53.87,1800,96966.0,106,3,1,0,48.49,-9684.0,-9338.0148,345.9852,0.0
20260115,2026-01,300045,reversal_watch,32.5,3000,97500.0,32,185,2,0,30.47,-6090.0,-6583.944,-493.944,0.0
20260115,2026-01,601698,reversal_watch,42.22,2300,97106.0,23,,1,1200,39.28,-6762.0,-6038.2198,723.7802,47136.0
20260115,2026-01,688066,reversal_watch,42.5,2300,97750.0,9,74,2,0,38.96,-8142.0,-7294.1142,847.8858,0.0
20260116,2026-01,688066,mild_override_watch,39.94,2500,99850.0,,,0,2500,41.37,3575.0,3575.0,0.0,103425.0
20260120,2026-01,300342,reversal_watch,57.61,1700,97937.0,41,124,2,0,52.22,-9163.0,-6847.2572,2315.7428,0.0
20260120,2026-01,688066,severe_override_positive,42.37,2300,97451.0,12,30,2,0,36.89,-12604.0,-7315.5364,5288.4636,0.0
20260120,2026-01,688523,reversal_watch,66.17,1500,99255.0,12,46,2,0,60.3,-8805.0,-7193.0104,1611.9896,0.0
20260126,2026-01,300045,reversal_watch,31.01,3200,99232.0,60,,1,1600,28.74,-7264.0,-6196.8448,1067.1552,45984.0
20260126,2026-01,300342,severe_override_positive,60.0,1600,96000.0,83,152,2,0,54.6,-8640.0,-6545.3088,2094.6912,0.0
20260126,2026-01,688066,reversal_watch,41.99,2300,96577.0,21,47,2,0,38.06,-9039.0,-7055.4294,1983.5706,0.0
20260126,2026-01,688523,reversal_watch,71.0,1400,99400.0,4,59,2,0,64.86,-8596.0,-7285.1058,1310.8942,0.0
20260128,2026-01,300342,reversal_watch,57.1,1700,97070.0,21,,1,900,53.43,-6239.0,-5637.1632,601.8368,48087.0
20260303,2026-03,300342,severe_override_positive,46.3,2100,97230.0,11,50,2,0,41.52,-10038.0,-6701.2456,3336.7544,0.0
20260303,2026-03,601698,severe_override_positive,39.65,2500,99125.0,14,219,2,0,36.02,-9075.0,-6840.4118,2234.5882,0.0
20260401,2026-04,300342,mild_override_watch,52.08,1900,98952.0,61,,0,1900,53.19,2109.0,2109.0,0.0,101061.0
20260401,2026-04,688523,mild_override_watch,65.85,1500,98775.0,26,,0,1500,63.23,-3930.0,-3930.0,0.0,94845.0
20260403,2026-04,688066,reversal_watch,18.22,5400,98388.0,18,,1,2700,17.0,-6588.0,-5915.9808,672.0192,45900.0
